Palabra                  Frecuencia     Longitud  
sniffing                 1              8         
sniffings                1              9         
snooze                   1              6         
snoozing                 1              8         
snorted                  1              7         
snorting                 1              8         
snow                     9              4         
snowfall                 1              8         
snowflakes               2              10        
snowing                  1              7         
snow—nothing             1              12        
snug                     5              4         
snuggled                 1              8         
snugly                   1              6         
so                       156            2         
soaring                  1              7         
soft                     8              4         
soften                   1              6         
softest                  1              7         
softly                   3              6         
soldier                  1              7         
solicit                  2              7         
solicitation             1              12        
solid                    1              5         
solved                   1              6         
some                     20             4         
somehow                  3              7         
someone                  4              7         
somersault               1              10        
something                15             9         
sometimes                6              9         
somewhat                 2              8         
somewhere                4              9         
son                      1              3         
soon                     16             4         
sooner                   11             6         
soooo                    1              5         
soothe                   2              6         
sore                     4              4         
sorriest                 2              8         
sorry                    2              5         
sorry”                   1              6         
sort                     1              4         
sought                   4              6         
soul                     1              4         
sound                    19             5         
sounded                  5              7         
sounding                 1              8         
sounds                   3              6         
sour                     1              4         
sourtasting              3              11        
south                    2              5         
southern                 1              8         
southward                1              9         
space                    1              5         
spank                    1              5         
spare                    2              5         
spark                    1              5         
sparks                   4              6         
spat                     1              4         
special                  1              7         
specified                2              9         
speckled                 1              8         
speed                    1              5         
spelling                 1              8         
spied                    3              5         
spinning                 3              8         
spite                    2              5         
spiteful                 1              8         
spitting                 2              8         
splash                   4              6         
splashed                 1              8         
splashing                1              9         
splurf”                  1              7         
splutter                 1              8         
spoil                    1              5         
sport                    2              5         
spots                    1              5         
spotted                  4              7         
sprang                   2              6         
spread                   2              6         
spree                    1              5         
spring                   13             6         
springfield              3              11        
sprung                   1              6         
spying                   1              6         
square                   5              6         
squared                  3              7         
squarely                 1              8         
squeak                   3              6         
squeaks                  1              7         
squeal                   1              6         
squealed                 5              8         
squealing                1              9         
squealing—you            1              13        
squeals                  1              7         
squirrel                 17             8         
squirrels                5              9         
squirrels”               1              10        
squirrel’s               3              10        
staff                    1              5         
stalked                  1              7         
stamp                    2              5         
stamping                 2              8         
stand                    7              5         
standing                 3              8         
standpoint               1              10        
stands                   1              6         
stare                    2              5         
stared                   11             6         
staring                  8              7         
start                    5              5         
started                  12             7         
starting                 2              8         
startle                  2              7         
startled                 6              8         
starve                   1              6         
state                    5              5         
statements               1              10        
states                   19             6         
state’s                  1              7         
status                   4              6         
stave                    1              5         
stay                     1              4         
stead                    2              5         
steadily                 2              8         
steal                    3              5         
stealthily               1              10        
steel                    2              5         
steep                    1              5         
steeple                  1              7         
step                     3              4         
stepped                  2              7         
stern                    3              5         
sternly                  1              7         
stick                    1              5         
sticking                 1              8         
sticky                   2              6         
still                    36             5         
stillness                4              9         
still—from               1              10        
stimulant                1              9         
stimulating              1              11        
sting                    5              5         
stinging                 1              8         
stings                   4              6         
stirring                 1              8         
stole                    2              5         
stolen                   2              6         
stomach                  1              7         
stone                    3              5         
stood                    15             5         
stop                     10             4         
stopped                  8              7         
stopping                 2              8         
store                    2              5         
stored                   1              6         
stories                  2              7         
storm                    5              5         
storm”                   1              6         
stove                    1              5         
stow                     1              4         
straight                 21             8         
straining                1              9         
strange                  4              7         
strayed                  1              7         
stream                   9              6         
streamed                 1              8         
stream’s                 1              8         
strength                 1              8         
stretch                  4              7         
stretched                3              9         
stretching               1              10        
strict                   1              6         
strictly                 1              8         
strike                   3              6         
strikes                  1              7         
strike”                  1              7         
striking                 1              8         
strip                    3              5         
stroke                   1              6         
strolls                  1              7         
strong                   3              6         
stronger                 3              8         
strongly                 1              8         
struck                   13             6         
struggles                1              9         
struggling               2              10        
stub                     1              4         
stubborn                 2              8         
stubby                   1              6         
stuck                    3              5         
studied                  1              7         
study                    2              5         
stuff                    2              5         
stuffed                  1              7         
stumble                  1              7         
stumbled                 1              8         
stump                    5              5         
stumps                   1              6         
stung                    3              5         
stupid                   1              6         
subdue                   1              6         
subject                  1              7         
subscribe                1              9         
succeed                  1              7         
succeeded                1              9         
success                  2              7         
successfully             1              12        
successive               1              10        
such                     31             4         
sudden                   12             6         
suddenly                 30             8         
sugar                    14             5         
sugary                   2              6         
suit                     1              4         
suitable                 1              8         
summer                   2              6         
sun                      10             3         
sung                     1              4         
sunlight                 1              8         
sunset                   1              6         
sunshine                 3              8         
sun”                     1              4         
supper                   8              6         
supplied                 1              8         
support                  4              7         
suppose                  8              7         
supposed                 1              8         
sure                     13             4         
surely                   3              6         
surface                  3              7         
surlylooking             1              12        
surprise                 10             8         
surprised                3              9         
surprise—found           1              14        
surprising               3              10        
survive                  1              7         
suspected—the            1              13        
suspicioned              1              11        
swallowed                1              9         
swallowtail              1              11        
swam                     3              4         
swamp                    1              5         
swarm                    2              5         
swayed                   2              6         
swaying                  5              7         
sweep                    1              5         
sweet                    7              5         
sweeten                  1              7         
swell                    1              5         
swelling                 2              8         
swept                    3              5         
swift                    4              5         
swiftly                  1              7         
swiftness                1              9         
swim                     12             4         
swimmer                  1              7         
swimming                 9              8         
swim—i’ll                1              9         
swim”                    2              5         
swinging                 2              8         
swirled                  1              7         
swirls                   1              6         
swish                    1              5         
swollen                  4              7         
swoop—and                1              9         
sworn—there              1              11        
swung                    2              5         
sympathy                 1              8         
synonymous               1              10        
syrupsoaked              1              11        
tables                   2              6         
tail                     22             4         
tailful                  1              7         
tails                    1              5         
taint                    1              5         
take                     12             4         
taken                    7              5         
takes                    4              5         
taking                   3              6         
tales                    3              5         
talk                     2              4         
tall                     6              4         
tallest                  2              7         
tamas                    1              5         
tame                     2              4         
tamed                    1              5         
tan                      1              3         
tangle                   1              6         
tangled                  1              7         
tantalizing              3              11        
taptap                   1              6         
tap—tap—tap              1              11        
taste                    3              5         
tastes                   1              6         
tattletale               12             10        
tattling                 1              8         
taught                   2              6         
taunts                   1              6         
tax                      6              3         
taxes                    1              5         
teach                    4              5         
teaches                  1              7         
teaching                 3              8         
team                     1              4         
tear                     1              4         
teaser                   1              6         
teases                   2              6         
teeth                    5              5         
tell                     18             4         
telling                  1              7         
temper                   2              6         
tempted                  2              7         
tempting                 2              8         
ten                      4              3         
tender                   1              6         
tenderlooking            1              13        
tensed                   1              6         
tension                  1              7         
terms                    22             5         
terrible                 6              8         
terribly                 1              8         
terrified                2              9         
terrifying               2              10        
terror                   7              6         
terrorstricken           1              14        
texts                    1              5         
than                     69             4         
thanks                   2              6         
that                     456            4         
that—not                 1              8         
that’s                   6              6         
that”                    4              5         
thaw                     1              4         
the                      1988           3         
their                    128            5         
theirs                   1              6         
them                     67             4         
themselves               7              10        
themselves—that          1              15        
themselves”              1              11        
them—and                 1              8         
them—at                  1              7         
them—in                  1              7         
them”                    3              5         
then                     78             4         
then—as                  1              7         
then—suddenly—she        1              17        
then—um                  1              7         
then”                    1              5         
there                    142            5         
therefore                8              9         
there’s                  6              7         
there”                   3              6         
these                    27             5         
they                     160            4         
they’d                   2              6         
they’ll                  4              7         
they’re                  1              7         
they’ve                  1              7         
thick                    11             5         
thickening               1              10        
thin                     2              4         
thing                    30             5         
things                   16             6         
things”                  1              7         
think                    13             5         
thinking                 1              8         
thinner                  1              7         
third                    3              5         
thirsty                  1              7         
this                     116            4         
thoroughly               1              10        
those                    16             5         
though                   25             6         
thought                  37             7         
though—how               1              10        
thousand                 1              8         
thrashed                 1              8         
threat                   1              6         
threaten                 1              8         
threats                  1              7         
three                    15             5         
threw                    1              5         
thrill                   2              6         
throat                   6              6         
throats                  1              7         
through                  53             7         
throughout               1              10        
thrown                   2              6         
thrust                   9              6         
thump                    10             5         
thumpetythumpetybump     1              20        
thunder                  5              7         
thunderstorm             2              12        
thunderstorms            2              13        
thunderstorm”            1              13        
thus                     9              4         
tie                      1              3         
tight                    2              5         
tighter                  2              7         
till                     47             4         
timber                   2              6         
time                     50             4         
timely                   1              6         
times                    5              5         
time”                    4              5         
timid                    4              5         
timothy                  3              7         
tin                      1              3         
tinier                   1              6         
tinkle                   1              6         
tinkling                 1              8         
tiny                     4              4         
tip                      9              3         
tipmost                  1              7         
tips                     2              4         
tiptoe                   3              6         
tiptoed                  1              7         
tiptoeing                1              9         
tired                    2              5         
tired—but                1              9         
title                    1              5         
to                       830            2         
toads                    1              5         
tobogganed               1              10        
toes                     1              4         
together                 8              8         
told                     16             4         
tone                     2              4         
tongue                   10             6         
tongues                  2              7         
tonight                  2              7         
tonsing                  1              7         
too                      67             3         
took                     14             4         
tooth                    2              5         
too”                     2              4         
top                      26             3         
topmost                  2              7         
tops                     2              4         
tore                     3              4         
tormentor                1              9         
tormentor’s              1              11        
torn                     2              4         
tortured                 2              8         
torturing                1              9         
touch                    4              5         
touched                  1              7         
touches                  1              7         
touchy                   1              6         
toward                   16             6         
towards                  2              7         
towed                    4              5         
to”                      2              3         
tracks                   3              6         
trademark                13             9         
trademarkcopyright       1              18        
trail                    4              5         
trailing                 1              8         
trails                   1              6         
train                    1              5         
training                 2              8         
tramp                    1              5         
trampled                 2              8         
transcribe               1              10        
transcriber’s            1              13        
transcription            1              13        
transfer                 1              8         
trapped                  1              7         
traps                    1              5         
traveling                2              9         
traveling”               1              10        
treasure                 2              8         
treasures                1              9         
treated                  1              7         
treatment                1              9         
tree                     95             4         
trees                    19             5         
treetop                  9              7         
treetops                 4              8         
treetrunk                1              9         
tree—of                  1              7         
tree”                    3              5         
trembled                 1              8         
trembling                2              9         
trench                   1              6         
trick                    6              5         
tried                    16             5         
tries                    1              5         
trilled                  1              7         
trip                     2              4         
triphammers              1              11        
trips                    1              5         
trotting                 3              8         
trouble                  20             7         
troubled                 1              8         
troubles                 5              8         
trout                    14             5         
truce                    1              5         
true                     8              4         
true—what                1              9         
truly                    2              5         
truly”                   1              6         
trunk                    26             5         
trunks                   3              6         
trunk”                   1              6         
trusted                  2              7         
trusting                 2              8         
truth                    1              5         
try                      18             3         
trying                   11             6         
tuck                     1              4         
tucked                   2              6         
tufts                    1              5         
tumbled                  3              7         
tumbledown               1              10        
tumbling                 3              8         
tummy                    2              5         
turf                     1              4         
turmoil                  1              7         
turn                     6              4         
turned                   22             6         
turning                  2              7         
turnings                 1              8         
turtle                   2              6         
tweak                    1              5         
twice                    2              5         
twig                     4              4         
twigs                    4              5         
twilight                 1              8         
twinkle                  1              7         
twinkled                 2              8         
twinkling                3              9         
twinkly                  251            7         
twinkly’s                15             9         
twist                    1              5         
twisting                 1              8         
twistings                1              9         
twitched                 1              8         
twitching                1              9         
two                      26             3         
twolegged                1              9         
two”                     1              4         
types                    1              5         
typos                    1              5         
unable                   2              6         
unafraid                 1              8         
unaware                  1              7         
unbearable               1              10        
uncertain                2              9         
uncomfortable            1              13        
uncomfortably            1              13        
uncurled                 1              8         
under                    37             5         
underbrush               12             10        
underfoot                1              9         
underground              1              11        
underneath               5              10        
underscores              1              11        
understand               3              10        
understood               1              10        
under—for                1              9         
uneasily                 1              8         
unenforceability         1              16        
unexpected               1              10        
unfortunately            2              13        
unhappily                1              9         
unhappy                  1              7         
uniform                  1              7         
united                   15             6         
unk                      50             3         
unknown                  3              7         
unless                   10             6         
unlike                   1              6         
unlink                   1              6         
unpleasant               1              10        
unprotected              5              11        
unreasoning              1              11        
unrolling                1              9         
unsolicited              1              11        
unsteadily               1              10        
unstung                  1              7         
until                    8              5         
untrained                1              9         
up                       135            2         
updated                  1              7         
upon                     10             4         
upper                    1              5         
upraised                 1              8         
upstream                 6              8         
up”                      1              3         
urged                    1              5         
urging                   1              6         
us                       20             2         
use                      16             3         
used                     6              4         
user                     3              4         
use”                     1              4         
using                    6              5         
usual                    1              5         
us”                      1              3         
ut                       1              2         
utmost                   1              6         
v                        2              1         
vaguely                  1              7         
vain                     4              4         
valiantly                1              9         
valley                   19             6         
valor                    2              5         
valor”                   1              6         
value                    1              5         
vanilla                  2              7         
variety                  1              7         
various                  1              7         
vaulted                  1              7         
veered                   1              6         
vegetarian               1              10        
velvet                   2              6         
venture                  1              7         
ventured                 5              8         
version                  1              7         
very                     53             4         
vi                       2              2         
viciously                1              9         
viewed                   1              6         
viewing                  2              7         
vigorous                 2              8         
vii                      2              3         
viii                     2              4         
vines                    2              5         
violates                 1              8         
violence                 1              8         
virtue                   1              6         
virtues                  1              7         
virus                    1              5         
visible                  1              7         
visibly                  1              7         
visit                    2              5         
visited                  1              7         
vista                    1              5         
voice                    8              5         
voices                   1              6         
void                     1              4         
volunteer                1              9         
volunteers               5              10        
vulnerable               1              10        
wade                     1              4         
waded                    3              5         
wading                   1              6         
waggled                  1              7         
wailed                   2              6         
wait                     6              4         
waited                   10             6         
waiting                  6              7         
waits                    2              5         
wake                     4              4         
walk                     1              4         
walked                   1              6         
walking                  2              7         
walks                    1              5         
wall                     2              4         
walnut                   1              6         
wandered                 1              8         
want                     13             4         
wanted                   10             6         
wants                    5              5         
warblers                 2              8         
warm                     8              4         
warmed                   1              6         
warming                  1              7         
warn                     4              4         
warned                   3              6         
warning                  8              7         
warnings                 1              8         
warranties               3              10        
warranty                 2              8         
was                      431            3         
wash                     1              4         
wasn’t                   13             6         
wasps                    3              5         
wasps—whatever           1              14        
wasps’                   2              6         
wasp’s                   1              6         
waste”                   1              6         
was—but                  1              7         
was—it                   1              6         
watch                    4              5         
watched                  10             7         
watches                  2              7         
watchfulness             1              12        
watching                 6              8         
watch”                   1              6         
water                    43             5         
watered                  4              7         
waters                   2              6         
water—not                1              9         
water’s                  3              7         
water”                   1              6         
way                      64             3         
ways                     1              4         
ways”                    1              5         
way”                     1              4         
we                       30             2         
weaned                   1              6         
weather                  1              7         
web                      1              3         
website                  4              7         
wee                      2              3         
weed                     1              4         
week                     2              4         
weeks                    4              5         
weeks’                   1              6         
weighing                 1              8         
weight                   4              6         
weird                    1              5         
welcome                  1              7         
well                     22             4         
welt                     1              4         
went                     23             4         
wept                     1              4         
were                     100            4         
weren’t                  2              7         
were—how                 1              8         
west                     2              4         
wet                      12             3         
wettings                 1              8         
we’d                     2              4         
we’re                    1              5         
we’ve                    1              5         
what                     60             4         
whatever                 6              8         
whatsoever               2              10        
what’s                   1              6         
when                     85             4         
whence                   1              6         
whenever                 1              8         
when—zipp                1              9         
where                    68             5         
whereabouts              3              11        
whereby                  1              7         
whereupon                1              9         
wherever                 1              8         
whether                  1              7         
which                    52             5         
whiff                    2              5         
while                    34             5         
whimpered                3              9         
whimpers                 1              8         
whirled                  1              7         
whirling                 3              8         
whiskers                 2              8         
whispered                9              9         
whistled                 1              8         
whistling                1              9         
white                    11             5         
whitefooted              1              11        
whiteness                1              9         
whitespotted             1              12        
who                      35             3         
whole                    5              5         
wholesomely              1              11        
whom                     7              4         
whoo                     2              4         
whoof”                   4              6         
whose                    10             5         
who—he                   1              6         
who’d                    1              5         
why                      15             3         
wide                     4              4         
wideeyed                 3              8         
widened                  1              7         
wider                    1              5         
widespread               1              10        
widest                   2              6         
wiggle                   2              6         
wiggled                  1              7         
wild                     16             4         
wildcats—to              1              11        
wilderness               11             10        
will                     26             4         
willing                  1              7         
willingly                1              9         
willows                  1              7         
wind                     14             4         
winds                    4              5         
windstorm                1              9         
winds”                   1              6         
wind—an                  1              7         
winged                   1              6         
wings                    4              5         
winking                  1              7         
winter                   13             6         
winter’s                 4              8         
wiry                     1              4         
wisdom”                  1              7         
wise                     3              4         
wisely                   1              6         
wiser                    3              5         
wiser—and                1              9         
wish                     3              4         
wished                   1              6         
wishing                  1              7         
with                     268            4         
within                   16             6         
without                  27             7         
wits                     2              4         
wonder                   9              6         
wondered                 3              8         
wonderful                5              9         
wonderfully              1              11        
wondering                2              9         
wonder—”                 1              8         
won’t                    7              5         
wood                     10             4         
wooden                   1              6         
woodfolk                 1              8         
woodfolks                1              9         
woodland                 1              8         
woods                    28             5         
woodsman                 1              8         
woods—mice               1              10        
woods”                   3              6         
woof                     34             4         
woof’s                   1              6         
word                     5              4         
words                    1              5         
wore                     1              4         
work                     49             4         
working                  1              7         
works                    33             5         
work—nothing             1              12        
work”                    1              5         
world                    16             5         
worm                     3              4         
worms                    3              5         
worries                  1              7         
worse                    7              5         
worst                    7              5         
worth                    5              5         
would                    136            5         
wouldn’t                 11             8         
wound                    2              5         
wounds                   1              6         
wrath                    1              5         
wrench                   1              6         
wrenched                 1              8         
wrestler                 1              8         
wrestling                5              9         
wriggled                 1              8         
wriggling                2              9         
wriggly                  7              7         
wrigglynosed             1              12        
writhed                  1              7         
writho                   18             6         
writho”                  1              7         
writing                  3              7         
written                  3              7         
wrong                    2              5         
wunk                     46             4         
wunk’s                   4              6         
wunk’”                   1              6         
wunk”                    8              5         
wuzz                     2              4         
wwwgutenbergorg          5              15        
wwwgutenbergorgcontact   1              22        
wwwgutenbergorgdonate    2              21        
wwwgutenbergorglicense   1              22        
x                        2              1         
xi                       2              2         
xii                      2              3         
xiii                     2              4         
xiv                      2              3         
xix                      2              3         
xl                       2              2         
xli                      2              3         
xlii                     2              4         
xliii                    2              5         
